file,n,m,weighted,opt,algo,con,run,rec,del
yosupo/random_03.wsoap,167105,192942,1,154804117296498,pq,11,8,1,2
yosupo/random_03.wsoap,167105,192942,1,154804117296498,treap,7,9,1,0
yosupo/random_03.wsoap,167105,192942,1,154804117296498,hollow,5,33,1,0
yosupo/random_03.wsoap,167105,192942,1,154804117296498,set,12,11,3,1
yosupo/random_03.wsoap,167105,192942,1,154804117296498,gabow,15,38,1,7
yosupo/random_03.wsoap,167105,192942,1,154804117296498,lemon,6,38,0,0
yosupo/random_03.wsoap,167105,192942,1,154804117296498,atofigh,2,391,0,0
yosupo/random_03.wsoap,167105,192942,1,154804117296498,felerius,6,2,0,0
yosupo/random_03.wsoap,167105,192942,1,154804117296498,spaghetti,10,11,0,0
yosupo/random_03.wsoap,167105,192942,1,154804117296498,yosupo,21,9,1,6
yosupo/max_random_03.wsoap,199964,199980,1,199955963101743,pq,11,6,1,2
yosupo/max_random_03.wsoap,199964,199980,1,199955963101743,treap,7,8,1,0
yosupo/max_random_03.wsoap,199964,199980,1,199955963101743,hollow,6,36,1,0
yosupo/max_random_03.wsoap,199964,199980,1,199955963101743,set,12,10,1,0
yosupo/max_random_03.wsoap,199964,199980,1,199955963101743,gabow,15,28,1,3
yosupo/max_random_03.wsoap,199964,199980,1,199955963101743,lemon,7,42,0,0
yosupo/max_random_03.wsoap,199964,199980,1,199955963101743,atofigh,3,445,0,0
yosupo/max_random_03.wsoap,199964,199980,1,199955963101743,felerius,5,2,0,0
yosupo/max_random_03.wsoap,199964,199980,1,199955963101743,spaghetti,9,8,0,0
yosupo/max_random_03.wsoap,199964,199980,1,199955963101743,yosupo,20,6,1,5
yosupo/random_02.wsoap,53336,173537,1,21192431283643,pq,10,3,0,1
yosupo/random_02.wsoap,53336,173537,1,21192431283643,treap,10,6,0,0
yosupo/random_02.wsoap,53336,173537,1,21192431283643,hollow,5,14,0,0
yosupo/random_02.wsoap,53336,173537,1,21192431283643,set,16,6,2,2
yosupo/random_02.wsoap,53336,173537,1,21192431283643,gabow,10,30,0,8
yosupo/random_02.wsoap,53336,173537,1,21192431283643,lemon,5,23,0,0
yosupo/random_02.wsoap,53336,173537,1,21192431283643,atofigh,2,171,0,0
yosupo/random_02.wsoap,53336,173537,1,21192431283643,felerius,5,1,0,0
yosupo/random_02.wsoap,53336,173537,1,21192431283643,spaghetti,13,6,0,0
yosupo/random_02.wsoap,53336,173537,1,21192431283643,yosupo,21,4,0,12
yosupo/random_02.wsoap,53336,173537,1,21192431283643,matrix,9866,9766,0,520
yosupo/max_random_02.wsoap,199987,199996,1,199981770027014,pq,11,6,1,2
yosupo/max_random_02.wsoap,199987,199996,1,199981770027014,treap,6,8,1,0
yosupo/max_random_02.wsoap,199987,199996,1,199981770027014,hollow,6,36,1,0
yosupo/max_random_02.wsoap,199987,199996,1,199981770027014,set,12,10,1,0
yosupo/max_random_02.wsoap,199987,199996,1,199981770027014,gabow,15,29,1,3
yosupo/max_random_02.wsoap,199987,199996,1,199981770027014,lemon,7,42,0,0
yosupo/max_random_02.wsoap,199987,199996,1,199981770027014,atofigh,3,445,0,0
yosupo/max_random_02.wsoap,199987,199996,1,199981770027014,felerius,6,2,0,0
yosupo/max_random_02.wsoap,199987,199996,1,199981770027014,spaghetti,9,8,0,0
yosupo/max_random_02.wsoap,199987,199996,1,199981770027014,yosupo,20,6,1,5
yosupo/random_01.wsoap,150763,168446,1,142247087752207,pq,9,6,1,1
yosupo/random_01.wsoap,150763,168446,1,142247087752207,treap,6,7,1,0
yosupo/random_01.wsoap,150763,168446,1,142247087752207,hollow,5,28,1,0
yosupo/random_01.wsoap,150763,168446,1,142247087752207,set,11,9,3,0
yosupo/random_01.wsoap,150763,168446,1,142247087752207,gabow,13,30,1,5
yosupo/random_01.wsoap,150763,168446,1,142247087752207,lemon,6,33,0,0
yosupo/random_01.wsoap,150763,168446,1,142247087752207,atofigh,2,347,0,0
yosupo/random_01.wsoap,150763,168446,1,142247087752207,felerius,5,2,0,0
yosupo/random_01.wsoap,150763,168446,1,142247087752207,spaghetti,8,9,0,0
yosupo/random_01.wsoap,150763,168446,1,142247087752207,yosupo,18,7,1,5
yosupo/max_random_01.wsoap,199969,199988,1,199957566159091,pq,10,6,1,2
yosupo/max_random_01.wsoap,199969,199988,1,199957566159091,treap,7,8,1,0
yosupo/max_random_01.wsoap,199969,199988,1,199957566159091,hollow,6,36,1,0
yosupo/max_random_01.wsoap,199969,199988,1,199957566159091,set,11,10,1,0
yosupo/max_random_01.wsoap,199969,199988,1,199957566159091,gabow,15,29,1,3
yosupo/max_random_01.wsoap,199969,199988,1,199957566159091,lemon,7,42,0,0
yosupo/max_random_01.wsoap,199969,199988,1,199957566159091,atofigh,3,445,0,0
yosupo/max_random_01.wsoap,199969,199988,1,199957566159091,felerius,5,2,0,0
yosupo/max_random_01.wsoap,199969,199988,1,199957566159091,spaghetti,9,8,0,0
yosupo/max_random_01.wsoap,199969,199988,1,199957566159091,yosupo,20,6,1,5
yosupo/random_00.wsoap,127669,145374,1,119282622630242,pq,8,5,0,1
yosupo/random_00.wsoap,127669,145374,1,119282622630242,treap,5,6,0,0
yosupo/random_00.wsoap,127669,145374,1,119282622630242,hollow,4,24,0,0
yosupo/random_00.wsoap,127669,145374,1,119282622630242,set,9,7,2,0
yosupo/random_00.wsoap,127669,145374,1,119282622630242,gabow,11,24,1,4
yosupo/random_00.wsoap,127669,145374,1,119282622630242,lemon,5,28,0,0
yosupo/random_00.wsoap,127669,145374,1,119282622630242,atofigh,2,292,0,0
yosupo/random_00.wsoap,127669,145374,1,119282622630242,felerius,5,1,0,0
yosupo/random_00.wsoap,127669,145374,1,119282622630242,spaghetti,7,7,0,0
yosupo/random_00.wsoap,127669,145374,1,119282622630242,yosupo,15,6,0,4
yosupo/max_random_00.wsoap,199952,199993,1,199931189898972,pq,10,6,1,2
yosupo/max_random_00.wsoap,199952,199993,1,199931189898972,treap,7,8,1,0
yosupo/max_random_00.wsoap,199952,199993,1,199931189898972,hollow,5,36,1,0
yosupo/max_random_00.wsoap,199952,199993,1,199931189898972,set,11,10,2,0
yosupo/max_random_00.wsoap,199952,199993,1,199931189898972,gabow,15,29,1,3
yosupo/max_random_00.wsoap,199952,199993,1,199931189898972,lemon,7,42,0,0
yosupo/max_random_00.wsoap,199952,199993,1,199931189898972,atofigh,3,444,0,0
yosupo/max_random_00.wsoap,199952,199993,1,199931189898972,felerius,5,2,0,0
yosupo/max_random_00.wsoap,199952,199993,1,199931189898972,spaghetti,9,8,0,0
yosupo/max_random_00.wsoap,199952,199993,1,199931189898972,yosupo,20,6,1,5
yosupo/random_04.wsoap,14868,113983,1,2199325501507,pq,6,3,0,0
yosupo/random_04.wsoap,14868,113983,1,2199325501507,treap,9,6,0,0
yosupo/random_04.wsoap,14868,113983,1,2199325501507,hollow,2,6,0,0
yosupo/random_04.wsoap,14868,113983,1,2199325501507,set,12,11,0,4
yosupo/random_04.wsoap,14868,113983,1,2199325501507,gabow,4,22,0,1
yosupo/random_04.wsoap,14868,113983,1,2199325501507,lemon,2,206,0,0
yosupo/random_04.wsoap,14868,113983,1,2199325501507,atofigh,1,480,0,9
yosupo/random_04.wsoap,14868,113983,1,2199325501507,felerius,5,2,0,0
yosupo/random_04.wsoap,14868,113983,1,2199325501507,spaghetti,9,3,0,0
yosupo/random_04.wsoap,14868,113983,1,2199325501507,yosupo,12,7,0,6
yosupo/random_04.wsoap,14868,113983,1,2199325501507,matrix,773,1158,0,2
yosupo/max_random_04.wsoap,199919,199962,1,199897349440162,pq,11,6,1,2
yosupo/max_random_04.wsoap,199919,199962,1,199897349440162,treap,6,8,1,0
yosupo/max_random_04.wsoap,199919,199962,1,199897349440162,hollow,6,36,1,0
yosupo/max_random_04.wsoap,199919,199962,1,199897349440162,set,12,10,2,0
yosupo/max_random_04.wsoap,199919,199962,1,199897349440162,gabow,15,28,1,3
yosupo/max_random_04.wsoap,199919,199962,1,199897349440162,lemon,7,42,0,0
yosupo/max_random_04.wsoap,199919,199962,1,199897349440162,atofigh,3,446,0,0
yosupo/max_random_04.wsoap,199919,199962,1,199897349440162,felerius,6,2,0,0
yosupo/max_random_04.wsoap,199919,199962,1,199897349440162,spaghetti,9,8,0,0
yosupo/max_random_04.wsoap,199919,199962,1,199897349440162,yosupo,20,6,1,5
